#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNano,AvgIterationNanos
Slice,100,1232,99,353,132
Slice,1000,4880,205,2534,687
Slice,10000,106467,3330,25692,7238
Slice,100000,2251166,150512,344141,81793
Slice,1000000,17167050,1236417,2938247,1443508
ArrayList,100,367,292,1166,2085
ArrayList,1000,430,210,7194,9672
ArrayList,10000,3405,3261,65853,106798
ArrayList,100000,165323,165688,818306,2850135
ArrayList,1000000,1075402,1009733,6646946,27612689
TreeSet,100,867,0,0,18329
TreeSet,1000,3746,103,31,133906
TreeSet,10000,1057,1272,932,673101
TreeSet,100000,3495,1252,825,17660141
TreeSet,1000000,3014,1497,1211,252422686
Map,100,186,7,0,1799
Map,1000,112,11,15,18344
Map,10000,123,136,134,172530
Map,100000,189,433,516,1766330
Map,1000000,217,503,277,20787332
