#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNanos,AvgIterationNanos
Slice,100,4033,430,1510,544
Slice,1000,16721,884,9710,1787
Slice,10000,72557,2880,26373,7037
Slice,100000,2370673,68229,353734,263508
Slice,1000000,21196725,2112726,2835953,1299761
ArrayList,100,177,123,837,801
ArrayList,1000,321,192,6191,5017
ArrayList,10000,3088,2916,71610,87718
ArrayList,100000,101271,128996,748141,3003577
ArrayList,1000000,966015,1234755,8067342,27460048
TreeSet,100,535,18,0,9225
TreeSet,1000,540,54,37,105709
TreeSet,10000,1484,1407,509,614023
TreeSet,100000,2036,1192,832,17333225
TreeSet,1000000,5479,1766,1226,297145872
Map,100,192,3,3,1788
Map,1000,179,16,17,20501
Map,10000,119,178,126,169151
Map,100000,179,215,196,1772864
Map,1000000,213,304,292,20817643
