#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNanos,AvgIterationNanos
Slice,100,1916,155,595,209
Slice,1000,7749,325,4678,1099
Slice,10000,91259,3122,40146,7694
Slice,100000,2257865,235994,277922,103796
Slice,1000000,19589168,1052734,2747220,1174411
ArrayList,100,182,119,815,797
ArrayList,1000,324,186,7011,4687
ArrayList,10000,3096,2786,61442,50906
ArrayList,100000,110971,177484,701076,2699480
ArrayList,1000000,1224318,1052450,6508610,26253626
TreeSet,100,793,0,5,20014
TreeSet,1000,732,71,34,177415
TreeSet,10000,752,645,499,576856
TreeSet,100000,1386,1111,881,15801598
TreeSet,1000000,4534,1458,1243,233596777
Map,100,236,0,4,1853
Map,1000,138,17,15,19667
Map,10000,136,121,157,178193
Map,100000,204,249,205,2360015
Map,1000000,224,292,263,19852632
