#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNanos,AvgIterationNanos
Slice,100,2872,268,1015,308
Slice,1000,11862,524,8181,2066
Slice,10000,78334,3142,24605,6973
Slice,100000,2594335,75850,422007,121093
Slice,1000000,21326416,2131305,2907798,1298695
ArrayList,100,284,226,751,888
ArrayList,1000,404,200,6330,4952
ArrayList,10000,3063,3118,65980,47060
ArrayList,100000,323505,74391,810343,2909797
ArrayList,1000000,1745835,1090251,6200002,29164175
TreeSet,100,1012,15,4,16078
TreeSet,1000,537,75,45,115077
TreeSet,10000,960,2087,841,746267
TreeSet,100000,1428,1094,909,17765420
TreeSet,1000000,3481,1485,1330,254492306
Map,100,185,3,6,1824
Map,1000,227,12,11,18336
Map,10000,122,127,229,184508
Map,100000,191,504,397,1829801
Map,1000000,258,300,279,20007085
