#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNanos,AvgIterationNanos
Slice,100,2893,249,902,331
Slice,1000,12166,483,6363,1691
Slice,10000,87626,3786,26944,7614
Slice,100000,2271157,142487,395924,174405
Slice,1000000,19543675,2033101,2678196,1306824
ArrayList,100,270,123,801,749
ArrayList,1000,334,203,6118,4897
ArrayList,10000,3066,2726,55922,47403
ArrayList,100000,92115,76482,599533,3442581
ArrayList,1000000,1061900,952350,6235256,29892424
TreeSet,100,522,0,7,3879
TreeSet,1000,593,83,40,29270
TreeSet,10000,843,649,450,492063
TreeSet,100000,1396,1034,918,19120804
TreeSet,1000000,2904,1614,1327,248836601
Map,100,304,6,7,1963
Map,1000,114,22,16,18806
Map,10000,123,135,173,244517
Map,100000,176,211,199,1877763
Map,1000000,358,296,287,19735663
