#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNanos,AvgIterationNanos
Slice,100,5372,435,1608,551
Slice,1000,13603,339,3833,969
Slice,10000,106191,20827,50360,9115
Slice,100000,2375369,105837,382888,146106
Slice,1000000,24311153,2782093,3601466,1544523
ArrayList,100,217,149,971,870
ArrayList,1000,335,200,6345,4896
ArrayList,10000,2986,2794,69497,93874
ArrayList,100000,142032,132029,886815,3161765
ArrayList,1000000,1172278,1354234,7708119,33109410
TreeSet,100,1256,56,14,3819
TreeSet,1000,1881,248,307,85757
TreeSet,10000,1862,1353,1784,1015150
TreeSet,100000,2854,1134,1425,23572345
TreeSet,1000000,2924,1727,1509,326413212
Map,100,265,3,4,2794
Map,1000,179,17,12,30857
Map,10000,203,388,251,210652
Map,100000,265,531,346,2423910
Map,1000000,391,538,1137,38571647
